Symbol,Name,Exchange,instrument_key,industry,sector
DATAPATTNS,Data Patterns (India) Limited,2,BSE_EQ|INE0IX101010,Aerospace & Defense,Aerospace & Defense
ABB,ABB India Limited,2,BSE_EQ|INE117A01022,Heavy Electrical Equipment,Electrical Equipment
AEGISLOG,Aegis Logistics Ltd.,2,BSE_EQ|INE208C01025,Trading - Gas,Gas
ARE&M,Amara Raja Energy & Mobility Limited,2,BSE_EQ|INE885A01032,Auto Components & Equipments,Auto Components
AMBALALSA,Ambalal Sarabhai Enterprise Ltd.,2,BSE_EQ|INE432A01017,Pharmaceuticals,Pharmaceuticals & Biotechnology
ANDHRAPET,Andhra Petrochemicals Ltd.,2,BSE_EQ|INE714B01016,Commodity Chemicals,Chemicals & Petrochemicals
ANSALAPI,Ansal Properties & Infrastructure Ltd.,2,BSE_EQ|INE436A01026,Residential- Commercial Projects,Realty
UTIQUE,UTIQUE ENTERPRISES LIMITED,2,BSE_EQ|INE096A01010,Precious Metals,Non - Ferrous Metals
ARUNAHTEL,Aruna Hotels Ltd.,2,BSE_EQ|INE957C01019,Hotels & Resorts,Leisure Services
BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,2,BSE_EQ|INE032A01023,Other Textile Products,Textiles & Apparels
ASIANHOTNR,Asian Hotels (North) Limited,2,BSE_EQ|INE363A01022,Hotels & Resorts,Leisure Services
ATUL,Atul Limited.,2,BSE_EQ|INE100A01010,Specialty Chemicals,Chemicals & Petrochemicals
ATVPR,ATV Projects India Ltd,2,BSE_EQ|INE447A01015,Industrial Products,Industrial Manufacturing
BAJAJELEC,Bajaj Electricals Ltd.,2,BSE_EQ|INE193E01025,Household Appliances,Consumer Durables
BAJAJHIND,Bajaj Hindusthan Sugar Limited,2,BSE_EQ|INE306A01021,Sugar,Agricultural Food & other Products
FORCEMOT,Force Motors Limited,2,BSE_EQ|INE451A01017,Passenger Cars & Utility Vehicles,Automobiles
BAJFINANCE,Bajaj Finance Limited,2,BSE_EQ|INE296A01024,Non Banking Financial Company (NBFC),Finance
BALRAMCHIN,Balrampur Chini Mills Ltd.,2,BSE_EQ|INE119A01028,Sugar,Agricultural Food & other Products
BANCOINDIA,Banco Products (India) Ltd.,2,BSE_EQ|INE213C01025,Auto Components & Equipments,Auto Components
CENTURYTEX,Century Textiles & Industries Ltd.,2,BSE_EQ|INE055A01016,Paper & Paper Products,"Paper, Forest & Jute Products"
BANARISUG,Bannari Amman Sugars Ltd.,2,BSE_EQ|INE459A01010,Sugar,Agricultural Food & other Products
BASF,BASF India Ltd,2,BSE_EQ|INE373A01013,Specialty Chemicals,Chemicals & Petrochemicals
BATAINDIA,Bata India Limited,2,BSE_EQ|INE176A01028,Footwear,Consumer Durables
BEML,BEML Ltd,2,BSE_EQ|INE258A01016,Construction Vehicles,"Agricultural, Commercial & Construction Vehicles"
BEL,Bharat Electronics Ltd.,2,BSE_EQ|INE263A01024,Aerospace & Defense,Aerospace & Defense
BEPL,Bhansali Engineering Polymers Ltd.,2,BSE_EQ|INE922A01025,Specialty Chemicals,Chemicals & Petrochemicals
BIHSPONG,Bihar Sponge Iron Ltd,2,BSE_EQ|INE819C01011,Sponge Iron,Ferrous Metals
BINANIIND,Binani Industries Limited,2,BSE_EQ|INE071A01013,Print Media,Media
BIRLACABLE,Birla Cable Limited,2,BSE_EQ|INE800A01015,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
BLUESTARCO,Blue Star Ltd,2,BSE_EQ|INE472A01039,Household Appliances,Consumer Durables
DISAQ,Disa India Ltd.,2,BSE_EQ|INE131C01011,Industrial Products,Industrial Manufacturing
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,2,BSE_EQ|INE418C01012,Other Capital Market related Services,Capital Markets
BPL,BPL Ltd.,2,BSE_EQ|INE110A01019,Consumer Electronics,Consumer Durables
OAL,ORIENTAL AROMATICS LIMITED,2,BSE_EQ|INE959C01023,Specialty Chemicals,Chemicals & Petrochemicals
CENTEXT,Century Extrusions Ltd.,2,BSE_EQ|INE281A01026,Aluminium- Copper & Zinc Products,Industrial Products
CESC,CESC Limited,2,BSE_EQ|INE486A01021,Integrated Power Utilities,Power
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,2,BSE_EQ|INE085A01013,Fertilizers,Fertilizers & Agrochemicals
EXIDEIND,Exide Industries Ltd.,2,BSE_EQ|INE302A01020,Auto Components & Equipments,Auto Components
CIPLA,Cipla Ltd.,2,BSE_EQ|INE059A01026,Pharmaceuticals,Pharmaceuticals & Biotechnology
DICIND,DIC India Ltd,2,BSE_EQ|INE303A01010,Printing Inks,Chemicals & Petrochemicals
CRISIL,CRISIL Ltd.,2,BSE_EQ|INE007A01025,Other Financial Services,Finance
CGPOWER,CG Power and Industrial Solutions Limited,2,BSE_EQ|INE067A01029,Heavy Electrical Equipment,Electrical Equipment
DABUR,Dabur India Ltd.,2,BSE_EQ|INE016A01026,Personal Care,Personal Products
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,2,BSE_EQ|INE495A01022,Sugar,Agricultural Food & other Products
ARVIND,Arvind Ltd.,2,BSE_EQ|INE034A01011,Garments & Apparels,Textiles & Apparels
BHEL,Bharat Heavy Electricals Ltd.,2,BSE_EQ|INE257A01026,Heavy Electrical Equipment,Electrical Equipment
HINDPETRO,Hindustan Petroleum Corporation Ltd,2,BSE_EQ|INE094A01015,Refineries & Marketing,Petroleum Products
IFCI,IFCI Ltd.,2,BSE_EQ|INE039A01010,Financial Institution,Finance
MTNL,Mahanagar Telephone Nigam Ltd.,2,BSE_EQ|INE153A01019,Telecom - Cellular & Fixed line services,Telecom - Services
MRPL,Mangalore Refinery & Petrochemicals,2,BSE_EQ|INE103A01014,Refineries & Marketing,Petroleum Products
CHENNPETRO,Chennai Petroleum Corporation Ltd.,2,BSE_EQ|INE178A01016,Refineries & Marketing,Petroleum Products
SBIN,State Bank Of India,2,BSE_EQ|INE062A01020,Public Sector Bank,Banks
SAIL,Steel Authority of India Ltd.,2,BSE_EQ|INE114A01011,Iron & Steel,Ferrous Metals
TITAN,Titan Company Limited,2,BSE_EQ|INE280A01028,Gems- Jewellery And Watches,Consumer Durables
IDBI,IDBI Bank Ltd,2,BSE_EQ|INE008A01015,Private Sector Bank,Banks
DCW,DCW Ltd.,2,BSE_EQ|INE500A01029,Petrochemicals,Chemicals & Petrochemicals
DHAMPURSUG,Dhampur Sugar Mills Ltd.,2,BSE_EQ|INE041A01016,Sugar,Agricultural Food & other Products
DIAMINESQ,Diamines & Chemicals Ltd.,2,BSE_EQ|INE591D01014,Specialty Chemicals,Chemicals & Petrochemicals
ELANTAS,Elantas Beck India Ltd,2,BSE_EQ|INE280B01018,Specialty Chemicals,Chemicals & Petrochemicals
DRREDDY,Dr. Reddy's Laboratories Ltd.,2,BSE_EQ|INE089A01023,Pharmaceuticals,Pharmaceuticals & Biotechnology
EIDPARRY,E.I.D. Parry (India) Ltd.,2,BSE_EQ|INE126A01031,Fertilizers,Fertilizers & Agrochemicals
PGHL,PROCTER & GAMBLE HEALTH LIMITED,2,BSE_EQ|INE199A01012,Pharmaceuticals,Pharmaceuticals & Biotechnology
ELECTCAST,Electrosteel Castings Ltd.,2,BSE_EQ|INE086A01029,Iron & Steel Products,Industrial Products
ESABINDIA,Esab India Ltd.,2,BSE_EQ|INE284A01012,Other Industrial Products,Industrial Products
EPL,EPL LIMITED,2,BSE_EQ|INE255A01020,Packaging,Industrial Products
ESTER,Ester Industries Ltd.,2,BSE_EQ|INE778B01029,Packaging,Industrial Products
FGP,FGP Ltd,2,BSE_EQ|INE512A01016,Non Banking Financial Company (NBFC),Finance
PHCAP,P.H. Capital Ltd.,2,BSE_EQ|INE160F01013,Investment Company,Finance
FINCABLES,Finolex Cables Ltd.,2,BSE_EQ|INE235A01022,Cables - Electricals,Industrial Products
COCKERILL,JOHN COCKERILL INDIA LIMITED,2,BSE_EQ|INE515A01019,Industrial Products,Industrial Manufacturing
UFLEX,Uflex Limited,2,BSE_EQ|INE516A01017,Packaging,Industrial Products
FOSECOIND,Foseco India Ltd,2,BSE_EQ|INE519A01011,Specialty Chemicals,Chemicals & Petrochemicals
GOLDENTOBC,Golden Tobacco Ltd.,2,BSE_EQ|INE973A01010,Residential- Commercial Projects,Realty
GANESHBE,Ganesh Benzoplast Ltd.,2,BSE_EQ|INE388A01029,Oil Storage & Transportation,Oil
METROGLOBL,Metroglobal Limited,2,BSE_EQ|INE085D01033,Trading & Distributors,Commercial Services & Supplies
GTL,GTL Ltd,2,BSE_EQ|INE043A01012,Other Telecom Services,Telecom - Services
GODFRYPHLP,Godfrey Phillips India Ltd.,2,BSE_EQ|INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
GODREJIND,Godrej Industries Ltd.,2,BSE_EQ|INE233A01035,Diversified,Diversified
KANSAINER,Kansai Nerolac Paints,2,BSE_EQ|INE531A01024,Paints,Consumer Durables
GOODRICKE,Goodricke Group Ltd.,2,BSE_EQ|INE300A01016,Tea & Coffee,Agricultural Food & other Products
GOODYEAR,Goodyear India Ltd.,2,BSE_EQ|INE533A01012,Tyres & Rubber Products,Auto Components
GTNINDS,GTN Industries Limited,2,BSE_EQ|INE537A01013,Other Textile Products,Textiles & Apparels
GHCL,GHCL Ltd.,2,BSE_EQ|INE539A01019,Commodity Chemicals,Chemicals & Petrochemicals
GFLLIMITED,GFL LIMITED,2,BSE_EQ|INE538A01037,Holding Company,Finance
GLFL,Gujarat Lease Financing Limited,2,BSE_EQ|INE540A01017,Other Financial Services,Finance
HCL-INSYS,HCL Infosystems Ltd,2,BSE_EQ|INE236A01020,Computers Hardware & Equipments,IT - Hardware
HDFCBANK,HDFC Bank Ltd.,2,BSE_EQ|INE040A01034,Private Sector Bank,Banks
HEROMOTOCO,Hero MotoCorp Limited,2,BSE_EQ|INE158A01026,2/3 Wheelers,Automobiles
HFCL,HFCL LIMITED,2,BSE_EQ|INE548A01028,Telecom - Infrastructure,Telecom - Services
HSCL,Himadri Speciality Chemical Ltd.,2,BSE_EQ|INE019C01026,Specialty Chemicals,Chemicals & Petrochemicals
HCC,Hindustan Construction Co. Ltd.,2,BSE_EQ|INE549A01026,Civil Construction,Construction
HINDOILEXP,Hindustan Oil Exploration Co. Ltd.,2,BSE_EQ|INE345A01011,Oil Exploration & Production,Oil
AGI,AGI GREENPAC LIMITED,2,BSE_EQ|INE415A01038,Packaging,Industrial Products
HINDZINC,Hindustan Zinc Ltd.,2,BSE_EQ|INE267A01025,Zinc,Non - Ferrous Metals
NDLVENTURE,NDL Ventures Limited,2,BSE_EQ|INE353A01023,Other Financial Services,Finance
HMT,HMT Limited,2,BSE_EQ|INE262A01018,Industrial Products,Industrial Manufacturing
PRAGBOS,Prag Bosimi Synthetics Ltd.,2,BSE_EQ|INE962B01011,Other Textile Products,Textiles & Apparels
HLVLTD,HLV LIMITED,2,BSE_EQ|INE102A01024,Hotels & Resorts,Leisure Services
IGPL,IG Petrochemicals Ltd,2,BSE_EQ|INE204A01010,Commodity Chemicals,Chemicals & Petrochemicals
INDIAGLYCO,India Glycols Ltd,2,BSE_EQ|INE560A01015,Commodity Chemicals,Chemicals & Petrochemicals
INDLEASE,India Lease Devl. Ltd.,2,BSE_EQ|INE333C01013,Non Banking Financial Company (NBFC),Finance
MARGOFIN,Margo Finance Limited,2,BSE_EQ|INE680B01019,Non Banking Financial Company (NBFC),Finance
INDORAMA,Indo Rama Synthetics (India) Ltd.,2,BSE_EQ|INE156A01020,Other Textile Products,Textiles & Apparels
INFY,Infosys Ltd,2,BSE_EQ|INE009A01021,Computers - Software & Consulting,IT - Software
INGERRAND,Ingersoll-Rand (India) Ltd.,2,BSE_EQ|INE177A01018,Compressors- Pumps & Diesel Engines,Industrial Products
ITHL,International Travel House Ltd,2,BSE_EQ|INE262B01016,"Tour, Travel Related Services",Leisure Services
IONEXCHANG,Ion Exchange (India) Ltd,2,BSE_EQ|INE570A01022,Water Supply & Management,Other Utilities
ATFL,Agro Tech Foods Ltd,2,BSE_EQ|INE209A01019,Edible Oil,Agricultural Food & other Products
JISLJALEQS,Jain Irrigation Systems Ltd.,2,BSE_EQ|INE175A01038,Plastic Products - Industrial,Industrial Products
JASCH,Jasch Industries Ltd.,2,BSE_EQ|INE711C01028,Other Textile Products,Textiles & Apparels
JINDALPOLY,Jindal Poly Films Ltd.,2,BSE_EQ|INE197D01010,Packaging,Industrial Products
JSWSTEEL,JSW Steel Limited,2,BSE_EQ|INE019A01038,Iron & Steel,Ferrous Metals
UMANGDAIRY,Umang Dairies Limited,2,BSE_EQ|INE864B01027,Dairy Products,Food Products
KAJARIACER,Kajaria Ceramics Ltd,2,BSE_EQ|INE217B01036,Ceramics,Consumer Durables
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,2,BSE_EQ|INE437B01014,Cement & Cement Products,Cement & Cement Products
KSL,Kalyani Steels Ltd,2,BSE_EQ|INE907A01026,Iron & Steel Products,Industrial Products
KANELIND,Kanel Industries Limited,2,BSE_EQ|INE252C01015,Trading & Distributors,Commercial Services & Supplies
WHIRLPOOL,Whirlpool of India Ltd,2,BSE_EQ|INE716A01013,Household Appliances,Consumer Durables
KGDENIM,K.G.Denim Ltd,2,BSE_EQ|INE104A01012,Other Textile Products,Textiles & Apparels
KINETICENG,Kinetic Engineering Ltd.,2,BSE_EQ|INE266B01017,Auto Components & Equipments,Auto Components
KIRLOSBROS,Kirloskar Brothers Ltd.,2,BSE_EQ|INE732A01036,Compressors- Pumps & Diesel Engines,Industrial Products
KIRLOSIND,Kirloskar Industries Ltd,2,BSE_EQ|INE250A01039,Other Industrial Products,Industrial Products
KIRLFER,Kirloskar Ferrous Industries Ltd.,2,BSE_EQ|INE884B01025,Pig Iron,Ferrous Metals
ENVAIREL,Envair Electrodyne Ltd.,2,BSE_EQ|INE601C01013,Industrial Products,Industrial Manufacturing
KOTAKBANK,Kotak Mahindra Bank Ltd.,2,BSE_EQ|INE237A01028,Private Sector Bank,Banks
KRIFILIND,KRISHNA FILAMENT INDUSTRIES LIMITED,2,BSE_EQ|INE073A01019,Plastic Products - Industrial,Industrial Products
KSB,KSB LIMITED,2,BSE_EQ|INE999A01023,Compressors- Pumps & Diesel Engines,Industrial Products
LGBBROSLTD,L.g.Balkrishnan & Bros. Ltd.,2,BSE_EQ|INE337A01034,Auto Components & Equipments,Auto Components
TRENT,Trent Ltd [Lakme Ltd],2,BSE_EQ|INE849A01020,Speciality Retail,Retailing
LAXMIMACH,Lakshmi Machine Works Ltd.,2,BSE_EQ|INE269B01029,Industrial Products,Industrial Manufacturing
LICHSGFIN,Lic Housing Finance Ltd.,2,BSE_EQ|INE115A01026,Housing Finance Company,Finance
LUPIN,Lupin Ltd,2,BSE_EQ|INE326A01037,Pharmaceuticals,Pharmaceuticals & Biotechnology
LYKALABS,Lyka Labs Ltd.,2,BSE_EQ|INE933A01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
RAMCOCEM,The Ramco Cements Limited,2,BSE_EQ|INE331A01037,Cement & Cement Products,Cement & Cement Products
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED,2,BSE_EQ|INE965B01022,Stockbroking & Allied,Capital Markets
MAFATIND,Mafatlal Industries Ltd.,2,BSE_EQ|INE270B01035,Other Textile Products,Textiles & Apparels
MAHSEAMLES,Maharashtra Seamless Ltd.,2,BSE_EQ|INE271B01025,Iron & Steel Products,Industrial Products
MAHSCOOTER,Maharashtra Scooters Ltd.,2,BSE_EQ|INE288A01013,Investment Company,Finance
MAJESAUT,Majestic Auto Ltd.,2,BSE_EQ|INE201B01022,Diversified Commercial Services,Commercial Services & Supplies
MANALIPETC,Manali Petrochemicals Ltd.,2,BSE_EQ|INE201A01024,Petrochemicals,Chemicals & Petrochemicals
BARODARY,Baroda Rayon Corpn. Ltd.,2,BSE_EQ|INE461A01024,Other Textile Products,Textiles & Apparels
MFSL,Max Financial Services Limited,2,BSE_EQ|INE180A01020,Life Insurance,Insurance
MIDINDIA,Mid India Industries Limited,2,BSE_EQ|INE401C01018,Other Textile Products,Textiles & Apparels
MIRCELECTR,Mirc Electronics Ltd,2,BSE_EQ|INE831A01028,Consumer Electronics,Consumer Durables
CENTENKA,Century Enka Ltd.,2,BSE_EQ|INE485A01015,Other Textile Products,Textiles & Apparels
MODTHREAD,Modern Thread (India) Ltd.,2,BSE_EQ|INE794W01014,Other Textile Products,Textiles & Apparels
LORDSCHLO,Lords Chloro Alkali Ltd,2,BSE_EQ|INE846D01012,Commodity Chemicals,Chemicals & Petrochemicals
SPICEJET,SpiceJet Limited,2,BSE_EQ|INE285B01017,Airline,Transport Services
MOREPENLAB,Morepen Laboratories Ltd.,2,BSE_EQ|INE083A01026,Pharmaceuticals,Pharmaceuticals & Biotechnology
MRF,M.R.F. Ltd.,2,BSE_EQ|INE883A01011,Tyres & Rubber Products,Auto Components
HEIDELBERG,HeidelbergCement  India Limited,2,BSE_EQ|INE578A01017,Cement & Cement Products,Cement & Cement Products
NCC,NCC Limited,2,BSE_EQ|INE868B01028,Civil Construction,Construction
VEDL,Vedanta Limited,2,BSE_EQ|INE205A01025,Diversified Metals,Diversified Metals
NAHARSPING,Nahar Spinning Mills Ltd.,2,BSE_EQ|INE290A01027,Other Textile Products,Textiles & Apparels
NAPEROL,Naperol Investments Limited,2,BSE_EQ|INE585A01020,Investment Company,Finance
GRASIM,Grasim Industries Ltd,2,BSE_EQ|INE047A01021,Cement & Cement Products,Cement & Cement Products
PEL,Piramal Enterprises Limited,2,BSE_EQ|INE140A01024,Non Banking Financial Company (NBFC),Finance
NIITLTD,NIIT Ltd.,2,BSE_EQ|INE161A01038,Education,Other Consumer Services
JAYKAY,Jaykay Enterprises Limited,2,BSE_EQ|INE903A01025,Aerospace & Defense,Aerospace & Defense
NIRLON,Nirlon Limited,2,BSE_EQ|INE910A01012,Diversified Commercial Services,Commercial Services & Supplies
ONGC,Oil And Natural Gas Corporation Ltd,2,BSE_EQ|INE213A01029,Oil Exploration & Production,Oil
OILCOUNTUB,Oil Country Tubular Ltd.,2,BSE_EQ|INE591A01010,Oil Equipment & Services,Oil
ORIENTHOT,Oriental Hotels Ltd.,2,BSE_EQ|INE750A01020,Hotels & Resorts,Leisure Services
OSWALAGRO,Oswal Agro Mills Ltd.,2,BSE_EQ|INE142A01012,Trading & Distributors,Commercial Services & Supplies
INDSUCR,Indian Sucrose Ltd.,2,BSE_EQ|INE557C01017,Sugar,Agricultural Food & other Products
PANCM,Panyam Cements & Mineral Inds. Ltd.,2,BSE_EQ|INE167E01037,Cement & Cement Products,Cement & Cement Products
RELIANCE,Reliance Industries Ltd,2,BSE_EQ|INE002A01018,Refineries & Marketing,Petroleum Products
PILITA,Pil Italica Lifestyle Limited,2,BSE_EQ|INE600A01035,Plastic Products - Consumer,Consumer Durables
RAYMOND,Raymond Limited,2,BSE_EQ|INE301A01014,Residential- Commercial Projects,Realty
PIDILITIND,Pidilite Industries Ltd.,2,BSE_EQ|INE318A01026,Specialty Chemicals,Chemicals & Petrochemicals
PIXTRANS,Pix Transmissions Ltd.,2,BSE_EQ|INE751B01018,Rubber,Industrial Products
BIRLACORPN,Birla Corporation Ltd.,2,BSE_EQ|INE340A01012,Cement & Cement Products,Cement & Cement Products
SURYAROSNI,Surya Roshni Ltd.,2,BSE_EQ|INE335A01020,Iron & Steel Products,Industrial Products
PRIMESECU,Prime Securities Ltd.,2,BSE_EQ|INE032B01021,Other Financial Services,Finance
PRSMJOHNSN,PRISM JOHNSON LIMITED.,2,BSE_EQ|INE010A01011,Cement & Cement Products,Cement & Cement Products
RAIN,Rain Industries Limited,2,BSE_EQ|INE855B01025,Petrochemicals,Chemicals & Petrochemicals
PRUDMOULI,Prudential Sugar Corporation Ltd,2,BSE_EQ|INE024D01016,Sugar,Agricultural Food & other Products
AMJLAND,AMJ LAND HOLDINGS LIMITED,2,BSE_EQ|INE606A01024,Residential- Commercial Projects,Realty
PUNJCOMMU,Punjab Communications Limited,2,BSE_EQ|INE609A01010,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
RSWM,RSWM Limited,2,BSE_EQ|INE611A01016,Other Textile Products,Textiles & Apparels
RAJSREESUG,Rajshree Sugars & Chemicals Ltd.,2,BSE_EQ|INE562B01019,Sugar,Agricultural Food & other Products
RALLIS,Rallis India Ltd,2,BSE_EQ|INE613A01020,Pesticides & Agrochemicals,Fertilizers & Agrochemicals
RAMANEWS,Shree Rama Newsprint Limited,2,BSE_EQ|INE278B01020,Paper & Paper Products,"Paper, Forest & Jute Products"
RAMAPPR-B,Rama Paper Mills Limited,2,BSE_EQ|INE425E01013,Paper & Paper Products,"Paper, Forest & Jute Products"
RAPICUT,Rapicut Carbides Ltd.,2,BSE_EQ|INE350D01015,Industrial Products,Industrial Manufacturing
WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LIMITED,2,BSE_EQ|INE731F01037,Iron & Steel Products,Industrial Products
RUBFILA,Rubfila International Ltd.,2,BSE_EQ|INE642C01025,Rubber,Industrial Products
PATANJALI,Patanjali Foods Limited,2,BSE_EQ|INE619A01035,Edible Oil,Agricultural Food & other Products
SALORAINTL,Salora International Limited,2,BSE_EQ|INE924A01013,Trading & Distributors,Commercial Services & Supplies
JINDALSAW,Jindal Saw Ltd.,2,BSE_EQ|INE324A01024,Iron & Steel Products,Industrial Products
JKLAKSHMI,JK Lakshmi Cement Limited,2,BSE_EQ|INE786A01032,Cement & Cement Products,Cement & Cement Products
SHREECEM,Shree Cements Ltd.,2,BSE_EQ|INE070A01015,Cement & Cement Products,Cement & Cement Products
SKPMIL,Shree Krishna Paper Mills & Industr,2,BSE_EQ|INE970C01012,Paper & Paper Products,"Paper, Forest & Jute Products"
SILVERLINE,Silverline Technologies Ltd.,2,BSE_EQ|INE368A01021,Software Products,IT - Software
RELINFRA,Reliance Infrastructure Ltd,2,BSE_EQ|INE036A01016,Integrated Power Utilities,Power
TATAPOWER,Tata Power Co. Ltd,2,BSE_EQ|INE245A01021,Integrated Power Utilities,Power
SPMLINFRA,SPML Infra Limited,2,BSE_EQ|INE937A01023,Civil Construction,Construction
SUNDRMFAST,Sundram Fasteners Ltd.,2,BSE_EQ|INE387A01021,Auto Components & Equipments,Auto Components
SUNFLAG,Sunflag Iron & Steel Co. Ltd.,2,BSE_EQ|INE947A01014,Iron & Steel,Ferrous Metals
SPLPETRO,Supreme Petrochem Ltd.,2,BSE_EQ|INE663A01033,Petrochemicals,Chemicals & Petrochemicals
SWARAJENG,Swaraj Engines Ltd.,2,BSE_EQ|INE277A01016,Compressors- Pumps & Diesel Engines,Industrial Products
TATAELXSI,Tata Elxsi Ltd,2,BSE_EQ|INE670A01012,Computers - Software & Consulting,IT - Software
ACC,ACC Ltd,2,BSE_EQ|INE012A01025,Cement & Cement Products,Cement & Cement Products
THERMAX,Thermax Ltd.,2,BSE_EQ|INE152A01029,Heavy Electrical Equipment,Electrical Equipment
TIRUMALCHM,Thirumalai Chemicals Ltd.,2,BSE_EQ|INE338A01024,Commodity Chemicals,Chemicals & Petrochemicals
THOMASCOOK,Thomas Cook (India) Ltd.,2,BSE_EQ|INE332A01027,"Tour, Travel Related Services",Leisure Services
TIMEX,Timex Group India Ltd,2,BSE_EQ|INE064A01026,Gems- Jewellery And Watches,Consumer Durables
TOKYOPLAST,Tokyo Plast International Ltd.,2,BSE_EQ|INE932C01012,Plastic Products - Consumer,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,2,BSE_EQ|INE685A01028,Pharmaceuticals,Pharmaceuticals & Biotechnology
TPINDIA,TPI India Ltd.,2,BSE_EQ|INE578C01021,Packaging,Industrial Products
TRANSCHEM,Transchem Limited.,2,BSE_EQ|INE019B01010,Pharmaceuticals,Pharmaceuticals & Biotechnology
AMBUJACEM,Ambuja Cements Ltd.,2,BSE_EQ|INE079A01024,Cement & Cement Products,Cement & Cement Products
UTLINDS,UTL Industries Limited,2,BSE_EQ|INE184E01024,Residential- Commercial Projects,Realty
UNIENTER,Uniphos Enterprises Limited.,2,BSE_EQ|INE037A01022,Trading - Chemicals,Chemicals & Petrochemicals
VHL,Vardhman Holdings Limited,2,BSE_EQ|INE701A01023,Investment Company,Finance
HINDALCO,Hindalco Industries Ltd.,2,BSE_EQ|INE038A01020,Aluminium,Non - Ferrous Metals
WSTCSTPAPR,West Coast Paper Mills Limited,2,BSE_EQ|INE976A01021,Paper & Paper Products,"Paper, Forest & Jute Products"
HOCL,Hindustan Organic Chemicals Ltd.,2,BSE_EQ|INE048A01011,Commodity Chemicals,Chemicals & Petrochemicals
MPILCORPL,MPIL CORPORATION LIMITED,2,BSE_EQ|INE844C01027,Other Financial Services,Finance
PASUPTAC,Pasupati Acrylon Ltd.,2,BSE_EQ|INE818B01023,Petrochemicals,Chemicals & Petrochemicals
KORE,Kore Foods Limited,2,BSE_EQ|INE601A01017,Other Food Products,Food Products
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,2,BSE_EQ|INE179A01014,Personal Care,Personal Products
MUKANDLTD,Mukand Ltd.,2,BSE_EQ|INE304A01026,Iron & Steel,Ferrous Metals
BBOX,BLACK BOX LIMITED,2,BSE_EQ|INE676A01027,IT Enabled Services,IT - Services
UCAL,UCAL LIMITED,2,BSE_EQ|INE139B01016,Auto Components & Equipments,Auto Components
HARRMALAYA,Harrisons Malayalam Ltd.,2,BSE_EQ|INE544A01019,Rubber,Industrial Products
FEDERALBNK,Federal Bank Ltd.,2,BSE_EQ|INE171A01029,Private Sector Bank,Banks
TATASTEEL,TATA STEEL LIMITED,2,BSE_EQ|INE081A01020,Iron & Steel,Ferrous Metals
SKFINDIA,SKF India Ltd.,2,BSE_EQ|INE640A01023,Abrasives & Bearings,Industrial Products
ASHOKLEY,Ashok Leyland Ltd.,2,BSE_EQ|INE208A01029,Commercial Vehicles,"Agricultural, Commercial & Construction Vehicles"
CUMMINSIND,Cummins India Ltd.,2,BSE_EQ|INE298A01020,Compressors- Pumps & Diesel Engines,Industrial Products
TATACOMM,Tata Communications Limited,2,BSE_EQ|INE151A01013,Telecom - Cellular & Fixed line services,Telecom - Services
ABBOTINDIA,Abbott India Ltd.,2,BSE_EQ|INE358A01014,Pharmaceuticals,Pharmaceuticals & Biotechnology
BAJAJHLDNG,Bajaj Holdings & Investment Limited,2,BSE_EQ|INE118A01012,Holding Company,Finance
BHARATFORG,Bharat Forge Ltd,2,BSE_EQ|INE465A01025,Auto Components & Equipments,Auto Components
ESCORTS,Escorts Kubota Limited,2,BSE_EQ|INE042A01014,Tractors,"Agricultural, Commercial & Construction Vehicles"
HINDMOTORS,Hindustan Motors Ltd.,2,BSE_EQ|INE253A01025,Passenger Cars & Utility Vehicles,Automobiles
LT,Larsen & Toubro Limited,2,BSE_EQ|INE018A01030,Civil Construction,Construction
M&M,Mahindra & Mahindra Ltd.,2,BSE_EQ|INE101A01026,Passenger Cars & Utility Vehicles,Automobiles
BOSCHLTD,Bosch Ltd,2,BSE_EQ|INE323A01026,Auto Components & Equipments,Auto Components
BPCL,Bharat Petroleum Corpn. Ltd.,2,BSE_EQ|INE029A01011,Refineries & Marketing,Petroleum Products
SIEMENS,Siemens Ltd.,2,BSE_EQ|INE003A01024,Heavy Electrical Equipment,Electrical Equipment
TATAMOTORS,Tata Motors Ltd.,2,BSE_EQ|INE155A01022,Passenger Cars & Utility Vehicles,Automobiles
VOLTAS,Voltas Ltd.,2,BSE_EQ|INE226A01021,Household Appliances,Consumer Durables
GESHIP,Great Eastern Shipping Co. Ltd.,2,BSE_EQ|INE017A01032,Shipping,Transport Services
DEEPAKFERT,Deepak Fertilizers &Petrochemicals,2,BSE_EQ|INE501A01019,Commodity Chemicals,Chemicals & Petrochemicals
