Symbol,Name,Exchange,instrument_key,industry,sector
MAWANASUG,Mawana Sugars Ltd,2,BSE_EQ|INE636A01039,Sugar,Agricultural Food & other Products
MINID,Mini Diamonds (India) Ltd.,2,BSE_EQ|INE281E01010,Gems- Jewellery And Watches,Consumer Durables
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd,2,BSE_EQ|INE843B01013,Other Financial Services,Finance
NILKAMAL,Nilkamal Limited,2,BSE_EQ|INE310A01015,Plastic Products - Consumer,Consumer Durables
NAHARPOLY,Nahar Polyfilms Ltd.,2,BSE_EQ|INE308A01027,Packaging,Industrial Products
3MINDIA,3M India Ltd.,2,BSE_EQ|INE470A01017,Diversified,Diversified
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd.,2,BSE_EQ|INE782A01015,Household Appliances,Consumer Durables
JMFINANCIL,JM Financial Limited,2,BSE_EQ|INE780C01023,Holding Company,Finance
ADCINDIA,ADC India Communications Limited,2,BSE_EQ|INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
TNTELE,Tamilnadu Telecommunications Ltd.,2,BSE_EQ|INE141D01018,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
SUNRAJDI,Sunraj Diamond Exports Ltd.,2,BSE_EQ|INE459D01014,Gems- Jewellery And Watches,Consumer Durables
RIIL,Reliance Industrial Infrastructure,2,BSE_EQ|INE046A01015,Logistics Solution Provider,Transport Services
LINDEINDIA,Linde India Limited,2,BSE_EQ|INE473A01011,Industrial Gases,Chemicals & Petrochemicals
INDBNK,Ind Bank Housing Ltd,2,BSE_EQ|INE969D01012,Housing Finance Company,Finance
JAIMATAG,Jai Mata Glass Ltd.,2,BSE_EQ|INE250C01027,Other Construction Materials,Other Construction Materials
LOTUSCHO,Lotus Chocolate Co. Ltd.,2,BSE_EQ|INE026D01011,Packaged Foods,Food Products
PACIFICI,Pacific Industries ltd.,2,BSE_EQ|INE883C01025,Granites & Marbles,Consumer Durables
CMMHOSP,Chennai Meenakshi Multispeciality Hospital Ltd.,2,BSE_EQ|INE889F01017,Healthcare Service Provider,Healthcare Services
UNIOFFICE,Universal Office Automation Limited,2,BSE_EQ|INE951C01012,Trading & Distributors,Commercial Services & Supplies
APMIN,APM Industries Ltd.,2,BSE_EQ|INE170D01025,Other Textile Products,Textiles & Apparels
PRECWIRE,Precision Wires India ltd.,2,BSE_EQ|INE372C01037,Aluminium- Copper & Zinc Products,Industrial Products
KRYPTONQ,Krypton Industries Ltd,2,BSE_EQ|INE951B01014,Diversified,Diversified
SWISSMLTRY,SWISS MILITARY CONSUMER GOODS LIMITED,2,BSE_EQ|INE010C01025,Diversified consumer products,Consumer Durables
MARBU,Martin Burn Ltd,2,BSE_EQ|INE199D01016,Residential- Commercial Projects,Realty
FEL,Future Enterprises Limited,2,BSE_EQ|INE623B01027,Diversified Retail,Retailing
INDTONER,Indian Toners & Developers Ltd.,2,BSE_EQ|INE826B01018,Specialty Chemicals,Chemicals & Petrochemicals
KUNSTOFF,Kunststoffe Industries Ltd.,2,BSE_EQ|INE638D01021,Plastic Products - Industrial,Industrial Products
SCI,Shipping Corporation Of India Ltd,2,BSE_EQ|INE109A01011,Shipping,Transport Services
SIKA,Sika Interplant Systems Ltd.,2,BSE_EQ|INE438E01016,Aerospace & Defense,Aerospace & Defense
ITI,ITI Limited (Indian Teleph.Ind.Ltd),2,BSE_EQ|INE248A01017,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
DREDGECORP,Dredging Corporation of India Ltd.,2,BSE_EQ|INE506A01018,Dredging,Engineering Services
PHRMASI,Phaarmasia Limited.,2,BSE_EQ|INE486I01016,Pharmaceuticals,Pharmaceuticals & Biotechnology
PODDARHOUS,Poddar Housing and Development Limited,2,BSE_EQ|INE888B01018,Residential- Commercial Projects,Realty
NFL,National Fertilizers Ltd.,2,BSE_EQ|INE870D01012,Fertilizers,Fertilizers & Agrochemicals
IPRINGLTD,IP Rings Ltd.,2,BSE_EQ|INE558A01019,Auto Components & Equipments,Auto Components
PIIND,PI Industries Limited,2,BSE_EQ|INE603J01030,Pesticides & Agrochemicals,Fertilizers & Agrochemicals
PLASTIBLEN,Plastiblends India Ltd.,2,BSE_EQ|INE083C01022,Specialty Chemicals,Chemicals & Petrochemicals
YASHINNO,YASH INNOVENTURES LIMITED,2,BSE_EQ|INE823D01011,Diversified Commercial Services,Commercial Services & Supplies
WATERBASE,Waterbase Limited,2,BSE_EQ|INE054C01015,Seafood,Food Products
FLEXFO,Flex Foods Ltd.,2,BSE_EQ|INE954B01018,Other Agricultural Products,Agricultural Food & other Products
GOLKUNDIA,Golkunda Diamonds & Jewellery Ltd.,2,BSE_EQ|INE798D01015,Gems- Jewellery And Watches,Consumer Durables
APCOTEXIND,Apcotex Industries Limited,2,BSE_EQ|INE116A01032,Rubber,Industrial Products
FORTISMLR,Fortis Malar Hospitals Limited,2,BSE_EQ|INE842B01015,Hospital,Healthcare Services
MASTEK,Mastek Limited,2,BSE_EQ|INE759A01021,Computers - Software & Consulting,IT - Software
EIMCOELECO,EIMCO Elecon India Ltd.,2,BSE_EQ|INE158B01016,Industrial Products,Industrial Manufacturing
SAYAJIHOTL,Sayaji Hotel Ltd,2,BSE_EQ|INE318C01014,Hotels & Resorts,Leisure Services
JMGCORP,JMG Corporation Ltd,2,BSE_EQ|INE745F01011,Plastic Products - Industrial,Industrial Products
ASHIANA,Ashiana Housing Limited,2,BSE_EQ|INE365D01021,Residential- Commercial Projects,Realty
SVAMSOF,Svam Software Ltd,2,BSE_EQ|INE119B01018,Software Products,IT - Software
ECOBOAR,Ecoboard Industries Ltd,2,BSE_EQ|INE866A01016,Plywood Boards/ Laminates,Consumer Durables
DVL,Dhunseri Ventures Limited,2,BSE_EQ|INE477B01010,Diversified,Diversified
TIHIL,TRANS INDIA HOUSE IMPEX LIMITED,2,BSE_EQ|INE502D01011,Industrial Products,Industrial Manufacturing
MAHEPC,MAHINDRA EPC IRRIGATION LIMITED,2,BSE_EQ|INE215D01010,Industrial Products,Industrial Manufacturing
MITSHI,Mitshi India Limited,2,BSE_EQ|INE844D01017,Trading & Distributors,Commercial Services & Supplies
SHUKJEW,Shukra Jewellers Limited,2,BSE_EQ|INE344E01016,Gems- Jewellery And Watches,Consumer Durables
MAZDA,Mazda Ltd.,2,BSE_EQ|INE885E01034,Industrial Products,Industrial Manufacturing
VHLTD,Viceroy Hotels Ltd.,2,BSE_EQ|INE048C01025,Hotels & Resorts,Leisure Services
SOVERDIA,Sovereign Diamonds Ltd,2,BSE_EQ|INE959D01013,Gems- Jewellery And Watches,Consumer Durables
MENONBE,Menon Bearings Ltd,2,BSE_EQ|INE071D01033,Auto Components & Equipments,Auto Components
MUKATPIP,Mukat Pipes Limited,2,BSE_EQ|INE862C01029,Iron & Steel Products,Industrial Products
GUJRAFFIA,Gujarat Raffia Ind. Ltd.,2,BSE_EQ|INE610B01024,Packaging,Industrial Products
SIMPLEXINF,Simplex Infrastructures Limited,2,BSE_EQ|INE059B01024,Civil Construction,Construction
INNOVTEC,Innovative Tech Pack Ltd,2,BSE_EQ|INE965C01038,Packaging,Industrial Products
SUPTANERY,Super Tannery Limited,2,BSE_EQ|INE460D01038,Leather And Leather Products,Consumer Durables
CONSTRONIC,CONSTRONICS INFRA LIMITED,2,BSE_EQ|INE537B01011,Trading & Distributors,Commercial Services & Supplies
AXTEL,Axtel Industries Ltd.,2,BSE_EQ|INE767C01012,Industrial Products,Industrial Manufacturing
VRWODAR,V R Woodart Ltd,2,BSE_EQ|INE317D01014,Tyres & Rubber Products,Auto Components
APIL,AVI PRODUCTS INDIA LIMITED,2,BSE_EQ|INE316O01021,Trading & Distributors,Commercial Services & Supplies
POONAWALLA,POONAWALLA FINCORP LIMITED,2,BSE_EQ|INE511C01022,Non Banking Financial Company (NBFC),Finance
HINFLUR,Hindustan Flurocarbons Ltd.,2,BSE_EQ|INE806J01013,Commodity Chemicals,Chemicals & Petrochemicals
KINGFA,Kingfa Science & Technology (India) Ltd,2,BSE_EQ|INE473D01015,Plastic Products - Industrial,Industrial Products
PATIDAR,Patidar Buildcon Limited,2,BSE_EQ|INE637N01014,Residential- Commercial Projects,Realty
RAMAPHO,Rama Phosphates Ltd.,2,BSE_EQ|INE809A01024,Fertilizers,Fertilizers & Agrochemicals
VENLONENT,Venlon Enterprises Ltd.,2,BSE_EQ|INE204D01022,Commodity Chemicals,Chemicals & Petrochemicals
PETPLST,Pet Plastics Ltd.,2,BSE_EQ|INE704F01018,Plastic Products - Industrial,Industrial Products
POLYPLEX,Polyplex Corporation Ltd.,2,BSE_EQ|INE633B01018,Packaging,Industrial Products
ALBERTDAVD,Albert David Ltd.,2,BSE_EQ|INE155C01010,Pharmaceuticals,Pharmaceuticals & Biotechnology
HARLETH,Haryana Leather Chemicals Ltd.,2,BSE_EQ|INE681F01018,Commodity Chemicals,Chemicals & Petrochemicals
CARYSIL,CARYSIL LIMITED,2,BSE_EQ|INE482D01024,Household Appliances,Consumer Durables
KABRAEXTRU,Kabra Extrusion Technik Ltd,2,BSE_EQ|INE900B01029,Industrial Products,Industrial Manufacturing
VINYLINDIA,Vinyl Chemicals (India) Ltd.,2,BSE_EQ|INE250B01029,Trading - Chemicals,Chemicals & Petrochemicals
PCCOSMA,Pee Cee Cosma Sope Ltd.,2,BSE_EQ|INE417E01010,Household Products,Household Products
TCMLMTD,TCM Ltd.,2,BSE_EQ|INE034F01010,Commodity Chemicals,Chemicals & Petrochemicals
IOLCP,IOL Chemicals & Pharmaceuticals Ltd,2,BSE_EQ|INE485C01011,Pharmaceuticals,Pharmaceuticals & Biotechnology
KESARPE,Kesar Petroproducts Ltd,2,BSE_EQ|INE133C01033,Commodity Chemicals,Chemicals & Petrochemicals
